Designator,Mid X,Mid Y,Layer,Rotation
U316,219.2,-99.8,top,180
U317,234,-104.8,top,180
U318,247.9,-111.3,top,180
U319,262.4,-118.9,top,180
U320,276.3,-127.5,top,180
U321,290.7,-137.9,top,180
U322,205.1,-103.7,top,180
U323,219.2,-107.6,top,180
U324,234,-112.2,top,180
U325,247.9,-118.1,top,180
U326,262.4,-124.8,top,180
U327,276.3,-132.6,top,180
U328,290.7,-141.8,top,180
U329,205.1,-113.6,top,180
U330,219.2,-116.9,top,180
U331,234,-120.9,top,180
U332,247.9,-126.1,top,180
U333,262.4,-131.9,top,180
U334,276.3,-138.7,top,180
U335,290.7,-146.6,top,180
U336,205.1,-124.5,top,180
U337,219.2,-127.5,top,180
U338,234,-131.1,top,180
U339,247.9,-135.4,top,180
U340,262.4,-140.3,top,180
U341,276.3,-145.7,top,180
U342,290.7,-151.9,top,180
U343,205.1,-134.7,top,180
U344,219.2,-137.3,top,180
U345,234,-140.4,top,180
U346,247.9,-143.9,top,180
U347,262.4,-148.1,top,180
U348,276.3,-152.6,top,180
U349,290.7,-157.7,top,180
U350,205.1,-146.1,top,180
U351,219.2,-148.3,top,180
U352,234,-151.1,top,180
U353,247.9,-153.8,top,180
U354,262.4,-156.8,top,180
U355,276.3,-160,top,180
U356,290.7,-163.5,top,180
U357,205.1,-155.8,top,180
U358,219.2,-157.9,top,180
U359,234,-160.1,top,180
U360,247.9,-162.3,top,180
U361,262.4,-164.8,top,180
U362,276.3,-167.3,top,180
U363,290.7,-170,top,180
U364,205.1,-166.8,top,180
U365,219.2,-168.2,top,180
U366,234,-169.8,top,180
U367,247.9,-171.1,top,180
U368,262.4,-172.9,top,180
U369,276.3,-174.6,top,180
U370,290.7,-176.5,top,180
U371,205.1,-177,top,180
U372,219.2,-177.9,top,180
U373,234,-179,top,180
U374,247.9,-179.8,top,180
U375,262.4,-180.9,top,180
U376,276.3,-182,top,180
U377,290.7,-183.2,top,180
U378,205.1,-185.4,top,180
U379,219.2,-186.1,top,180
U380,234,-187,top,180
U381,247.9,-187.4,top,180
U382,262.4,-188,top,180
U383,276.3,-188.4,top,180
U384,290.7,-188.9,top,180
U385,205.1,-194.9,top,180
U386,219.2,-195,top,180
U387,234,-195.2,top,180
U388,247.9,-195.1,top,180
U389,262.4,-195.2,top,180
U390,276.3,-195.2,top,180
U391,290.7,-195.3,top,180
U392,205.1,-202.6,top,180
U393,219.2,-202.6,top,180
U394,234,-202.6,top,180
U395,247.9,-202.3,top,180
U396,262.4,-202.2,top,180
U397,276.3,-202.1,top,180
U398,290.7,-202,top,180
U399,205.1,-210.4,top,180
U400,219.2,-210.2,top,180
U401,234,-210.2,top,180
U402,247.9,-209.7,top,180
U403,262.4,-209.5,top,180
U404,276.3,-209.3,top,180
U405,290.7,-209.1,top,180
U406,205.1,-218.1,top,180
U407,219.2,-217.6,top,180
U408,234,-217.2,top,180
U409,247.9,-216.4,top,180
U410,262.4,-215.7,top,180
U411,276.3,-215.2,top,180
U412,290.7,-214.5,top,180
U413,205.1,-226.3,top,180
U414,219.2,-225.5,top,180
U415,234,-224.9,top,180
U416,247.9,-224,top,180
U417,262.4,-223.2,top,180
U418,276.3,-222.4,top,180
U419,290.7,-221.7,top,180
U420,205.1,-234.3,top,180
U421,219.2,-233.3,top,180
U422,234,-232.5,top,180
U423,247.9,-231.2,top,180
U424,262.4,-230.2,top,180
U425,276.3,-229.2,top,180
U426,290.7,-228.1,top,180
U427,205.1,-242.1,top,180
U428,219.2,-240.9,top,180
U429,234,-239.9,top,180
U430,247.9,-238.5,top,180
U431,262.4,-237.3,top,180
U432,276.3,-236,top,180
U433,290.7,-234.8,top,180
U434,205.1,-250.2,top,180
U435,219.2,-248.7,top,180
U436,234,-247.4,top,180
U437,247.9,-245.6,top,180
U438,262.4,-244.1,top,180
U439,276.3,-242.6,top,180
U440,290.7,-241,top,180
U441,205.1,-257.9,top,180
U442,219.2,-256.1,top,180
U443,234,-254.5,top,180
U444,247.9,-252.4,top,180
U445,262.4,-250.5,top,180
U446,276.3,-248.6,top,180
U447,290.7,-246.8,top,180
U448,205.1,-265.9,top,180
U449,219.2,-263.9,top,180
U450,234,-262.2,top,180
U451,247.9,-259.9,top,180
U452,262.4,-257.9,top,180
U453,276.3,-256,top,180
U454,290.7,-253.9,top,180
U455,205.1,-273.8,top,180
U456,219.2,-272,top,180
U457,234,-270.1,top,180
U458,247.9,-267.8,top,180
U459,262.4,-265.4,top,180
U460,276.3,-262.9,top,180
U461,290.7,-260.3,top,180
U462,205.1,-281.9,top,180
U463,219.2,-280,top,180
U464,234,-278,top,180
U465,247.9,-275.4,top,180
U466,262.4,-272.9,top,180
U467,276.3,-270.2,top,180
U468,290.7,-267.2,top,180
U469,205.1,-290,top,180
U470,219.2,-288.2,top,180
U471,234,-286.1,top,180
U472,247.9,-283.4,top,180
U473,262.4,-280.3,top,180
U474,276.3,-277,top,180
U475,290.7,-273.3,top,180
U476,205.1,-297.8,top,180
U477,219.2,-296,top,180
U478,234,-294.2,top,180
U479,247.9,-291.3,top,180
U480,262.4,-288.2,top,180
U481,276.3,-284.7,top,180
U482,290.7,-280.7,top,180
U483,205.1,-305.6,top,180
U484,219.2,-304.8,top,180
U485,234,-303.1,top,180
U486,247.9,-300.5,top,180
U487,262.4,-296.9,top,180
U488,276.3,-292.6,top,180
U489,290.7,-287.2,top,180
U490,205.1,-313.4,top,180
U491,219.2,-313,top,180
U492,234,-311.6,top,180
U493,247.9,-308.8,top,180
U494,262.4,-305.1,top,180
U495,276.3,-300.2,top,180
U496,290.7,-293.9,top,180
U497,205.1,-321.6,top,180
U498,219.2,-321.7,top,180
U499,234,-320.7,top,180
U500,247.9,-317.9,top,180
U501,262.4,-313.9,top,180
U502,276.3,-308.4,top,180
U503,290.7,-301.2,top,180
U504,205.1,-329.8,top,180
U505,219.2,-329.7,top,180
U506,234,-328.8,top,180
U507,247.9,-326.5,top,180
U508,262.4,-322.8,top,180
U509,276.3,-316.6,top,180
U510,290.7,-306.4,top,180
U511,296.9,-107.9,top,180
U512,300.8,-113.5,top,180
